country_code,country_name,region,topic_group,avg_interest,n_queries
NZ,New Zealand,Taranaki,spanking,29,1
NZ,New Zealand,Taranaki,adult_corporal_punishment,NA,1
NZ,New Zealand,Taranaki,impact_play,NA,1
NZ,New Zealand,Taranaki,otk,NA,1
NZ,New Zealand,Tasman,bdsm_general,56,1
NZ,New Zealand,Tasman,spanking,44,1
NZ,New Zealand,Tasman,adult_corporal_punishment,NA,1
NZ,New Zealand,Tasman,impact_play,NA,1
NZ,New Zealand,Tasman,otk,NA,1
NZ,New Zealand,Waikato,impact_play,58,1
NZ,New Zealand,Waikato,bdsm_general,51,1
NZ,New Zealand,Waikato,otk,21,1
NZ,New Zealand,Waikato,spanking,20,1
NZ,New Zealand,Waikato,adult_corporal_punishment,NA,1
NZ,New Zealand,Wellington,impact_play,68,1
NZ,New Zealand,Wellington,bdsm_general,52,1
NZ,New Zealand,Wellington,spanking,26,1
NZ,New Zealand,Wellington,otk,25,1
NZ,New Zealand,Wellington,adult_corporal_punishment,NA,1
NZ,New Zealand,West Coast,bdsm_general,100,1
NZ,New Zealand,West Coast,adult_corporal_punishment,NA,1
NZ,New Zealand,West Coast,impact_play,NA,1
NZ,New Zealand,West Coast,otk,NA,1
NZ,New Zealand,West Coast,spanking,NA,1
US,United States,Alabama,bdsm_general,81,1
US,United States,Alabama,otk,59,1
US,United States,Alabama,impact_play,50,1
US,United States,Alabama,spanking,39.25,3
US,United States,Alabama,domestic_discipline,19,1
US,United States,Alabama,adult_corporal_punishment,NA,1
US,United States,Alaska,spanking,99,3
US,United States,Alaska,bdsm_general,96,1
US,United States,Alaska,impact_play,58,1
US,United States,Alaska,otk,42,1
US,United States,Alaska,adult_corporal_punishment,NA,1
US,United States,Alaska,domestic_discipline,NA,1
US,United States,Arizona,adult_corporal_punishment,100,1
US,United States,Arizona,otk,83,1
US,United States,Arizona,bdsm_general,81,1
US,United States,Arizona,spanking,79,3
US,United States,Arizona,impact_play,43,1
US,United States,Arizona,domestic_discipline,14,1
US,United States,Arkansas,spanking,85,3
US,United States,Arkansas,bdsm_general,84,1
US,United States,Arkansas,otk,71,1
US,United States,Arkansas,impact_play,47,1
US,United States,Arkansas,domestic_discipline,38,1
US,United States,Arkansas,adult_corporal_punishment,NA,1
US,United States,California,bdsm_general,76,1
US,United States,California,otk,71,1
US,United States,California,impact_play,54,1
US,United States,California,spanking,35.833333333333336,3
US,United States,California,domestic_discipline,14,1
US,United States,California,adult_corporal_punishment,NA,1
US,United States,Colorado,bdsm_general,79,1
US,United States,Colorado,otk,57,1
US,United States,Colorado,spanking,55,3
US,United States,Colorado,impact_play,46,1
US,United States,Colorado,domestic_discipline,9,1
US,United States,Colorado,adult_corporal_punishment,NA,1
US,United States,Connecticut,spanking,71,3
US,United States,Connecticut,bdsm_general,68,1
US,United States,Connecticut,otk,66,1
US,United States,Connecticut,impact_play,41,1
US,United States,Connecticut,domestic_discipline,9,1
US,United States,Connecticut,adult_corporal_punishment,NA,1
US,United States,Delaware,spanking,83,3
US,United States,Delaware,bdsm_general,73,1
US,United States,Delaware,otk,71,1
US,United States,Delaware,impact_play,36,1
US,United States,Delaware,adult_corporal_punishment,NA,1
US,United States,Delaware,domestic_discipline,NA,1
US,United States,District of Columbia,bdsm_general,61,1
US,United States,District of Columbia,spanking,59,3
US,United States,District of Columbia,otk,45,1
US,United States,District of Columbia,impact_play,43,1
US,United States,District of Columbia,adult_corporal_punishment,NA,1
US,United States,District of Columbia,domestic_discipline,NA,1
US,United States,Florida,bdsm_general,70,1
US,United States,Florida,otk,64,1
US,United States,Florida,spanking,57,3
US,United States,Florida,impact_play,48,1
US,United States,Florida,domestic_discipline,14,1
US,United States,Florida,adult_corporal_punishment,NA,1
US,United States,Georgia,bdsm_general,75,1
US,United States,Georgia,otk,64,1
US,United States,Georgia,spanking,57,3
US,United States,Georgia,impact_play,52,1
US,United States,Georgia,domestic_discipline,19,1
US,United States,Georgia,adult_corporal_punishment,NA,1
US,United States,Hawaii,bdsm_general,61,1
US,United States,Hawaii,otk,61,1
US,United States,Hawaii,spanking,53,3
US,United States,Hawaii,impact_play,34,1
US,United States,Hawaii,adult_corporal_punishment,NA,1
US,United States,Hawaii,domestic_discipline,NA,1
