country_code,country_name,date,topic_group,avg_interest,n_rows
GB,United Kingdom,2025-12-14,domestic_discipline,0,1
GB,United Kingdom,2025-12-21,bdsm_general,72,1
GB,United Kingdom,2025-12-21,otk,30,1
GB,United Kingdom,2025-12-21,spanking,25.666666666666668,3
GB,United Kingdom,2025-12-21,impact_play,3,1
GB,United Kingdom,2025-12-21,adult_corporal_punishment,0,1
GB,United Kingdom,2025-12-21,domestic_discipline,0,1
GB,United Kingdom,2025-12-28,bdsm_general,78,1
GB,United Kingdom,2025-12-28,otk,37,1
GB,United Kingdom,2025-12-28,spanking,29.333333333333332,3
GB,United Kingdom,2025-12-28,impact_play,3,1
GB,United Kingdom,2025-12-28,adult_corporal_punishment,0,1
GB,United Kingdom,2025-12-28,domestic_discipline,0,1
GB,United Kingdom,2026-01-04,bdsm_general,71,1
GB,United Kingdom,2026-01-04,spanking,25,3
GB,United Kingdom,2026-01-04,otk,24,1
GB,United Kingdom,2026-01-04,impact_play,3,1
GB,United Kingdom,2026-01-04,adult_corporal_punishment,0,1
GB,United Kingdom,2026-01-04,domestic_discipline,0,1
GB,United Kingdom,2026-01-11,bdsm_general,69,1
GB,United Kingdom,2026-01-11,spanking,22.333333333333332,3
GB,United Kingdom,2026-01-11,otk,22,1
GB,United Kingdom,2026-01-11,impact_play,4,1
GB,United Kingdom,2026-01-11,adult_corporal_punishment,0,1
GB,United Kingdom,2026-01-11,domestic_discipline,0,1
GB,United Kingdom,2026-01-18,bdsm_general,67,1
GB,United Kingdom,2026-01-18,otk,27,1
GB,United Kingdom,2026-01-18,spanking,24,3
GB,United Kingdom,2026-01-18,impact_play,4,1
GB,United Kingdom,2026-01-18,adult_corporal_punishment,0,1
GB,United Kingdom,2026-01-18,domestic_discipline,0,1
GB,United Kingdom,2026-01-25,bdsm_general,69,1
GB,United Kingdom,2026-01-25,spanking,22,3
GB,United Kingdom,2026-01-25,otk,19,1
GB,United Kingdom,2026-01-25,impact_play,12,1
GB,United Kingdom,2026-01-25,adult_corporal_punishment,0,1
GB,United Kingdom,2026-01-25,domestic_discipline,0,1
GB,United Kingdom,2026-02-01,impact_play,100,1
GB,United Kingdom,2026-02-01,bdsm_general,70,1
