scrape_date,source,country_code,country_name,region,query_term,timeframe,interest_score,interest_score_raw,hits,keyword,geo,gprop
2026-04-11,google_trends_region,US,United States,Nevada,impact play,today 12-m,49,49,49,impact play,US,web
2026-04-11,google_trends_region,US,United States,New Mexico,impact play,today 12-m,49,49,49,impact play,US,web
2026-04-11,google_trends_region,US,United States,Kentucky,impact play,today 12-m,48,48,48,impact play,US,web
2026-04-11,google_trends_region,US,United States,Florida,impact play,today 12-m,48,48,48,impact play,US,web
2026-04-11,google_trends_region,US,United States,Utah,impact play,today 12-m,48,48,48,impact play,US,web
2026-04-11,google_trends_region,US,United States,Arkansas,impact play,today 12-m,47,47,47,impact play,US,web
2026-04-11,google_trends_region,US,United States,Massachusetts,impact play,today 12-m,47,47,47,impact play,US,web
2026-04-11,google_trends_region,US,United States,Washington,impact play,today 12-m,47,47,47,impact play,US,web
2026-04-11,google_trends_region,US,United States,South Carolina,impact play,today 12-m,47,47,47,impact play,US,web
2026-04-11,google_trends_region,US,United States,Tennessee,impact play,today 12-m,47,47,47,impact play,US,web
2026-04-11,google_trends_region,US,United States,Colorado,impact play,today 12-m,46,46,46,impact play,US,web
2026-04-11,google_trends_region,US,United States,Pennsylvania,impact play,today 12-m,46,46,46,impact play,US,web
2026-04-11,google_trends_region,US,United States,West Virginia,impact play,today 12-m,46,46,46,impact play,US,web
2026-04-11,google_trends_region,US,United States,Maryland,impact play,today 12-m,45,45,45,impact play,US,web
2026-04-11,google_trends_region,US,United States,North Carolina,impact play,today 12-m,45,45,45,impact play,US,web
2026-04-11,google_trends_region,US,United States,Virginia,impact play,today 12-m,45,45,45,impact play,US,web
2026-04-11,google_trends_region,US,United States,Missouri,impact play,today 12-m,45,45,45,impact play,US,web
2026-04-11,google_trends_region,US,United States,District of Columbia,impact play,today 12-m,43,43,43,impact play,US,web
2026-04-11,google_trends_region,US,United States,Arizona,impact play,today 12-m,43,43,43,impact play,US,web
2026-04-11,google_trends_region,US,United States,Indiana,impact play,today 12-m,43,43,43,impact play,US,web
2026-04-11,google_trends_region,US,United States,Connecticut,impact play,today 12-m,41,41,41,impact play,US,web
2026-04-11,google_trends_region,US,United States,Rhode Island,impact play,today 12-m,40,40,40,impact play,US,web
2026-04-11,google_trends_region,US,United States,Oregon,impact play,today 12-m,39,39,39,impact play,US,web
2026-04-11,google_trends_region,US,United States,Illinois,impact play,today 12-m,39,39,39,impact play,US,web
2026-04-11,google_trends_region,US,United States,Nebraska,impact play,today 12-m,39,39,39,impact play,US,web
2026-04-11,google_trends_region,US,United States,Minnesota,impact play,today 12-m,39,39,39,impact play,US,web
2026-04-11,google_trends_region,US,United States,Vermont,impact play,today 12-m,38,38,38,impact play,US,web
2026-04-11,google_trends_region,US,United States,Michigan,impact play,today 12-m,38,38,38,impact play,US,web
2026-04-11,google_trends_region,US,United States,Wisconsin,impact play,today 12-m,38,38,38,impact play,US,web
2026-04-11,google_trends_region,US,United States,Iowa,impact play,today 12-m,37,37,37,impact play,US,web
2026-04-11,google_trends_region,US,United States,New Jersey,impact play,today 12-m,37,37,37,impact play,US,web
2026-04-11,google_trends_region,US,United States,Delaware,impact play,today 12-m,36,36,36,impact play,US,web
2026-04-11,google_trends_region,US,United States,Ohio,impact play,today 12-m,34,34,34,impact play,US,web
2026-04-11,google_trends_region,US,United States,Montana,impact play,today 12-m,34,34,34,impact play,US,web
2026-04-11,google_trends_region,US,United States,Hawaii,impact play,today 12-m,34,34,34,impact play,US,web
2026-04-11,google_trends_region,US,United States,Idaho,impact play,today 12-m,33,33,33,impact play,US,web
2026-04-11,google_trends_region,US,United States,South Dakota,impact play,today 12-m,32,32,32,impact play,US,web
2026-04-11,google_trends_region,US,United States,Maine,impact play,today 12-m,32,32,32,impact play,US,web
2026-04-11,google_trends_region,US,United States,North Dakota,impact play,today 12-m,30,30,30,impact play,US,web
2026-04-11,google_trends_region,US,United States,New Hampshire,impact play,today 12-m,28,28,28,impact play,US,web
2026-04-11,google_trends_region,US,United States,Oregon,bdsm,today 12-m,100,100,100,bdsm,US,web
2026-04-11,google_trends_region,US,United States,Vermont,bdsm,today 12-m,98,98,98,bdsm,US,web
